mosq_No,mosq_species,Treatment,dpi,part,Body,Head,PCLPV_copies,GMV_copies,ATV_copies,AANV_copies,ZIKV_copies,GCTLV_copies,WSLV3_copies,WNV_copies,group(plaque/qPCR+1000) ,group(plaque/qPCR+0) ,group(plaque/qPCR+1000/body+1000) ,group(plaque/qPCR+0/body+0) ,Info1,plaque_assay,head_ZIKV+1000,body_ZIKV+1000
AMT-7dpi-1,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-21,GIM-1,1151,11803,0,0,35313,,,,,,,,AA-7dpi-ZIKV,AA-ZIKV(-),,AA-7dpi-ZIKV(+)
AMT-7dpi-2,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-22,GIM-2,6771182,100690,0,865497,159634,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-3,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-23,GIM-3,19131163,75323,0,1243493,181666,,,,AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(+),AA-7dpi-ZIKV(+)
AMT-7dpi-4,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-24,GIM-4,12847,89560,0,0,22262,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-5,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-25,GIM-5,1152,27937,0,645854,148305,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-6,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-26,GIM-6,1189,42447,0,0,119431,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-7,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-27,GIM-7,85661,31578688,0,470681,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
AMT-7dpi-8,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-28,GIM-8,5262949,108857143,0,0,37796,,,,AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV(-/+/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(+),AA-7dpi-ZIKV(+)
AMT-7dpi-9,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-29,GIM-9,799,14845,0,0,66757,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV(-/-/+),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(+)
AMT-7dpi-10,Ae_aegypti,AA-ZIKV,7dpi,body,GIM-30,GIM-10,298,4880,0,481678,0,,,,AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV(-/-/-),AA-7dpi-ZIKV,AA-ZIKV(-),AA-7dpi-ZIKV(-),AA-7dpi-ZIKV(-)
